,Scp_open,Scp_wedge,Sc_open,Sc_wedge
4,0.811,,,
9,0.863,,0.9575,
16,0.895,,,
25,0.922,0.896,0.975,0.9457
49,0.960,,,
64,,,0.9914,
100,1.000,1,1,1
225,1.047,1.074,1.0148,1.0397
400,1.073,1.122,1.0202,1.064
900,1.106,,1.026,1.0794
1200,,1.182,,1.082
1600,1.116,,1.0233,
